page	text_sha256	characters	word_tokens	english_heuristic_tokens	indonesian_heuristic_tokens	heuristic_flagged	flagged_line_count	disposition	untranslated_instructional_or_exercise_prose
168	083092df3f8db28c4f3e5de719ce85fc02371b6614bb9ebe0ec14c1dccfeb858	1929	199	4	72	False	0	PASS_INDONESIAN_READER_PAGE	False
169	0a4bf6d6dd11d82cbe3ab21a153af77632f656d19ef45df0468427ba037dae55	2830	375	6	126	False	0	PASS_INDONESIAN_READER_PAGE	False
170	5b480f4f1cbf9904409c6f573ce4ca8dd633dc47e4a3146e2eee5389b2de0a4f	218	18	0	15	False	0	PASS_INDONESIAN_READER_PAGE	False
171	dab1e1e4623a0609ce9b185ff21f4999d59a00ce2e9a113005aefe2322440017	941	108	0	37	False	0	PASS_INDONESIAN_READER_PAGE	False
172	88dcd32a1274700206a4426ae396d77fa6a61c03b314c357046635f39d53039a	4539	530	2	219	False	0	PASS_INDONESIAN_READER_PAGE	False
173	e2dbe2635caff68fba85a70b2c82a5b3484acd4f5d07315e3a092686c2f9b15d	3897	467	3	177	False	0	PASS_INDONESIAN_READER_PAGE	False
174	cc4e9906352ac42baf6bd1514b4d7ecf827e3538b42e4d1841881db9b893144a	2507	236	0	90	False	0	PASS_INDONESIAN_READER_PAGE	False
175	ab4774319c947b4c3306bf8971f5e616443c141b10316bb15b4afeb54192812e	3088	336	0	128	False	0	PASS_INDONESIAN_READER_PAGE	False
176	6af2d4ddba329c9933e0d62fd3e0c73fdd2f24e4ed0c8f9e0c98a2f84ed51ace	1400	117	0	49	False	0	PASS_INDONESIAN_READER_PAGE	False
177	f577ba156c44236e873c2b536be890ce53e3af3bda3dc62174f8e5bc138a395c	3032	326	0	120	False	0	PASS_INDONESIAN_READER_PAGE	False
178	c79785f0c18c8987a9556fff9842378a328ba748fd1edf4867951e3dc78ae67c	3885	337	0	147	False	0	PASS_INDONESIAN_READER_PAGE	False
179	c3c211c6e01ad79c55e8ec9be63190363c8e92be1146ae6e1a863360f2639417	880	32	0	11	False	0	PASS_INDONESIAN_READER_PAGE	False
180	55f4ca5fa6e942557e8cc80d9bee50917c8c01943fd81a91d64e5659d1df1d65	992	27	0	10	False	0	PASS_INDONESIAN_READER_PAGE	False
181	41919c4672b28fcc600b584167cb9416ebe2ddb9dc4f482562a3711dcae2bac0	3031	380	0	150	False	0	PASS_INDONESIAN_READER_PAGE	False
182	c6a8c12f430b479be51aa8e72904f9b7ad1ed0c4ba18fca19aa6c84a2185ceac	4174	499	4	174	False	0	PASS_INDONESIAN_READER_PAGE	False
183	1c7047aa0b4d36c22a4a1c6041d593ed00bee65f1c23b77ad165e4cd40138f21	2287	283	2	106	False	0	PASS_INDONESIAN_READER_PAGE	False
184	c50fa1d5a55f6b5adf69c56c5a1ac3ce9316025c7902931957eb7f7b3a9232fe	3613	389	0	204	False	0	PASS_INDONESIAN_READER_PAGE	False
185	a7f50c7e884b77bf802d4042122f295001ee3f830da2a974bc0de162e47cb64a	4321	257	0	126	False	0	PASS_INDONESIAN_READER_PAGE	False
186	f7f600b37bccedc1590347d3af2004dc97069b0e2739adad186960cecdc1ee8b	3724	400	3	215	False	0	PASS_INDONESIAN_READER_PAGE	False
187	913e2fa6427751dd1ba141f890320d35c281f423f52f7ad1800c8742105f3245	2222	228	0	91	False	0	PASS_INDONESIAN_READER_PAGE	False
188	e8c2a41e866b4fd9c151900c1d097f4b0ccb069e92a76b200cd6552d996216cf	3627	405	3	133	False	0	PASS_INDONESIAN_READER_PAGE	False
189	1b9f7cf491bce63f63761c82dc7f320646d843814434992302510c1514a7e930	4114	471	3	190	False	0	PASS_INDONESIAN_READER_PAGE	False
190	fe5585eb62b104fa6dec710519ef8ddeea49b02182cc00eb9279ebd2c09bba33	4751	557	17	236	False	0	PASS_INDONESIAN_READER_PAGE	False
191	ce098beeb1b23941c5c473fc136d50c2a91ea4e944254aae40674350e96d0fc5	3148	398	5	156	False	0	PASS_INDONESIAN_READER_PAGE	False
192	28aed0a1823a75fd8c523fda1191d3926aae9ecd19fe3ca8a7ee80ed9ac36958	3600	422	1	159	False	0	PASS_INDONESIAN_READER_PAGE	False
193	b492fbb1c1cff352a6e9ad985eb2baefb4b9081d609dedbbaa76e24df002e42f	3883	501	2	205	False	0	PASS_INDONESIAN_READER_PAGE	False
194	1497ed1059af6cd650892b48c7cca3a28bbd22effbeb48445ba0a6d48c368620	3871	434	0	182	False	0	PASS_INDONESIAN_READER_PAGE	False
195	e0e5f5c0f37487ae1bc2c9387e4c34d4a70a41b9565e44b0706c7c08d9d67cd9	2429	298	1	127	False	0	PASS_INDONESIAN_READER_PAGE	False
196	c6df0f0e839423c343478837b1e8176e4d1a2248f96f0a36e65fb45462d5507c	4061	415	0	186	False	0	PASS_INDONESIAN_READER_PAGE	False
197	c11f895d13c07f7b41f20ae5f5940100256e14ec1b405fbee5205f5d3a32ff35	4042	505	3	222	False	0	PASS_INDONESIAN_READER_PAGE	False
198	92bda71b5f3761415f64381fb72f8fb4768a77d13a79dd798558176bbb29b92d	2002	222	0	90	False	0	PASS_INDONESIAN_READER_PAGE	False
199	8fa7554e5eb657a189edc721bc82d46e5a4fff92f0c64c406e150261f45c92b6	3180	338	0	163	False	0	PASS_INDONESIAN_READER_PAGE	False
200	b05a24ad6a13cd135b71b1bf808a6dd4e4135ac74c6016acc39ffc03f1da6785	2294	215	0	102	False	0	PASS_INDONESIAN_READER_PAGE	False
201	253f5c10a212dd54ee080797bf8e322bfb57c552e4140ace92f8ea4f8adcb7e4	2133	262	0	107	False	0	PASS_INDONESIAN_READER_PAGE	False
202	e9b6f4d4a3adb3d1797b1b7b9ba72570907c3c0930fe3524ca104d0dd8135211	3075	282	4	107	False	0	PASS_INDONESIAN_READER_PAGE	False
203	efdc8080ec538d5a2a1f4ebf1ffe2874bc44e946b46b38564c144ab375a705ea	4082	521	0	214	False	0	PASS_INDONESIAN_READER_PAGE	False
204	92bfa5d57ed9a811c3c485618a821822cfb76572d9cbdc26863a3d4b55724d39	4160	517	1	189	False	0	PASS_INDONESIAN_READER_PAGE	False
205	fcb8a3c9bbf7b3d1dcc1de1881660b9210c7f647fa4bd20e6700ab3b7b4f2fcd	3773	499	1	192	False	0	PASS_INDONESIAN_READER_PAGE	False
206	e34d4fb8d9bdb417eb006cb807884df40c516a0fa9b9a0c12c9785bb8e2b4e6d	5080	561	9	174	True	1	PASS_PRESERVED_PROPER_NAME_CITATION_URL_OR_IDENTIFIER	False
207	4b08b44f583d6a81e2f40f43f21fefda037cbdf63a256a60e4d104d1a2dbb934	3269	381	7	132	True	1	PASS_PRESERVED_PROPER_NAME_CITATION_URL_OR_IDENTIFIER	False
208	5d7fbd057b52387d417064b50ffd4ad9cebb4b05fa0c9db4f06bb82ae6194973	4988	492	12	137	False	0	PASS_INDONESIAN_READER_PAGE	False
209	4cfec92a654e6ce9210af85aa974a582a7e8ecfb50275efd3bb1d1331fe84d57	6879	727	9	230	False	0	PASS_INDONESIAN_READER_PAGE	False
210	1606529799cce0a1135fc0e3f1734ed8a1e1712a8460f7aed3d8b38ca866331a	6521	661	10	236	False	0	PASS_INDONESIAN_READER_PAGE	False
211	f34a803fe8c57518c120f8502954935c9cb70a30ab1096a11932c83de0f0084a	5793	611	11	202	False	0	PASS_INDONESIAN_READER_PAGE	False
212	57db110e742b5c29e91e2ccaf3e654db202b9e8574abce74560eb284bc05883d	7050	475	16	142	False	0	PASS_INDONESIAN_READER_PAGE	False
213	32daf53600de5ec3830a23c5db78a92cbeee7da1f0a7ad3e90af48679ab1bdc8	7018	555	18	168	False	0	PASS_INDONESIAN_READER_PAGE	False
214	93dfc95b5a9fedec04f40144d22bc431b88cc006a3da966c19dece2827d6f698	7858	668	12	284	False	0	PASS_INDONESIAN_READER_PAGE	False
215	0b6334b45dfd81fc162227b572116fb0bd807f1af0a05498e78ee53e1e79bb41	5385	532	6	201	False	0	PASS_INDONESIAN_READER_PAGE	False
216	636f4787a5336a797bbfe990c3116a11dad773c86b3c2b979bb7cb223bad910a	547	52	2	5	False	0	PASS_INDONESIAN_READER_PAGE	False
